epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,315.886,1.17493,1.18149,1.10452,0.81774,0.68564,0.74826,0.33675,1.8922,1.17901,1.49729,0.0006662,0.0006662,0.0006662
2,627.963,1.15277,0.74846,1.10202,0.83225,0.71149,0.78516,0.33521,1.85272,1.04562,1.43765,0.00100298,0.00100298,0.00100298
3,926.26,1.06059,0.63805,1.06311,0.8246,0.72581,0.79836,0.35914,1.83386,1.00917,1.43259,0.00100976,0.00100976,0.00100976
4,1231.02,0.99613,0.57158,1.03245,0.87674,0.77517,0.8533,0.42641,1.72345,0.86433,1.35912,0.000515,0.000515,0.000515
