epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1835.72,1.32165,1.02673,1.25464,0.83384,0.65386,0.74581,0.32696,1.89351,1.21363,1.58988,0.000666615,0.000666615,0.000666615
2,3602.36,1.21779,0.84956,1.20399,0.85446,0.71569,0.80247,0.36257,1.89873,1.0391,1.57829,0.00100329,0.00100329,0.00100329
3,5327.23,1.12105,0.72952,1.15149,0.83272,0.74591,0.82556,0.39656,1.78114,0.94548,1.47483,0.00100997,0.00100997,0.00100997
4,6989.83,1.0303,0.62524,1.10329,0.87486,0.77649,0.85721,0.41331,1.79403,0.83677,1.48437,0.000515,0.000515,0.000515
