epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,371.53,1.1855,1.22066,1.1114,0.78644,0.64163,0.71233,0.28763,1.97673,1.25885,1.52936,0.000666278,0.000666278,0.000666278
2,721.113,1.14485,0.74138,1.09931,0.82768,0.70451,0.79095,0.36808,1.85063,1.05956,1.44711,0.00100304,0.00100304,0.00100304
3,1056.08,1.09067,0.67295,1.07656,0.81789,0.76109,0.82152,0.36959,1.83316,0.95791,1.46235,0.0010098,0.0010098,0.0010098
4,1388.73,1.0159,0.59121,1.04261,0.86069,0.7789,0.85154,0.41718,1.72488,0.82488,1.37288,0.000515,0.000515,0.000515
